floor,Floor,0.000,0.000,40.000,34.000,0.0
wall,Wall,0.000,-16.000,40.000,2.000,0.0
wall,Wall,-12.000,-10.000,16.000,10.000,0.0
wall,Wall,-13.000,-4.000,14.000,2.000,0.0
wall,Wall,-17.500,-2.500,5.000,1.000,0.0
wall,Wall,-19.000,7.500,2.000,19.000,0.0
wall,Wall,-10.000,8.000,16.000,4.000,0.0
wall,Wall,-15.000,13.500,6.000,7.000,0.0
wall,Wall,4.000,16.500,32.000,1.000,0.0
wall,Wall,-8.500,2.500,5.000,7.000,0.0
wall,Wall,-8.000,13.500,2.000,1.000,0.0
wall,Wall,-4.000,4.000,4.000,4.000,0.0
wall,Wall,-3.000,-7.500,2.000,5.000,0.0
wall,Wall,-3.500,0.500,1.000,1.000,0.0
wall,Wall,10.500,-7.500,19.000,5.000,0.0
wall,Wall,6.500,6.000,11.000,8.000,0.0
wall,Wall,3.500,-3.500,1.000,1.000,0.0
wall,Wall,12.000,-12.500,16.000,5.000,0.0
wall,Wall,13.000,-4.000,14.000,2.000,0.0
wall,Wall,9.000,0.500,6.000,3.000,0.0
wall,Wall,8.000,13.500,2.000,1.000,0.0
wall,Wall,16.000,11.000,8.000,10.000,0.0
wall,Wall,17.500,-2.500,5.000,1.000,0.0
wall,Wall,19.000,2.000,2.000,8.000,0.0
manhole,Manhole_3,13.500,-2.500,0.000,0.000,0.0
flybot,FlyBot_Approach,-0.500,7.500,0.000,0.000,0.0
player,Greenie,-0.500,-12.500,0.000,0.000,0.0
boss,MegaSmog,-0.500,13.500,0.000,0.000,0.0
manhole,Manhole_2,10.500,-1.500,0.000,0.000,0.0
manhole,Manhole_1,7.500,-2.500,0.000,0.000,0.0
laser,Laser_Boss,-2.500,5.500,0.000,0.000,0.0
laser,Laser_Left,-10.500,-0.500,0.000,0.000,0.0
keycard,Keycard_B,14.500,2.500,0.000,0.000,0.0
flybot,FlyBot_Left,-9.500,-2.500,0.000,0.000,0.0
flybot,FlyBot_Hub,0.500,-1.500,0.000,0.000,0.0
keycard,Keycard_A,-14.500,2.500,0.000,0.000,0.0
flybot,FlyBot_Right,8.500,-1.500,0.000,0.000,0.0
npc,FleeingWorker,2.500,-12.500,0.000,0.000,0.0
rescuenpc,RescueNPC_Ti,-2.500,-12.500,0.000,0.000,0.0
returnportal,L2_ReturnPortal,1.500,-11.000,0.000,0.000,0.0
bossdoor,BossDoor,-0.500,9.500,0.000,0.000,0.0
